spcode,rep,organ,biomass
AVBA,2M-4,stem,20.654
BRHO2,2M-2,repro,4.828
AVBA,5M-1,repro,5.097
VUMY,4M-3,repro,7.105
AVBA,4M-2,repro,7.054
SEPU8,4M-2,repro,40.114
AVBA,3M-3,repro,4.969
AROL,2M-1,repro,0.43
BRHO2,3M-4,repro,0.088
AROL,4M-5,repro,1.034
AROL,5M-3,repro,1.382
SEPU8,3M-3,repro,4.344
BRHO2,3M-5,repro,3.121
SEPU8,4M-1,repro,9.834
VUMY,5M-4,repro,2.369
AVBA,4M-5,repro,2.923
BRHO2,4M-3,repro,1.099
VUMY,4M-2,repro,2.674
AROL,2M-2,repro,4.707
VUMY,3M-1,repro,0.11
AVBA,2M-4,repro,6.941
AROL,5M-4,repro,1.092
AROL,4M-1,root,2.635
SEPU8,3M-2,root,20.146
AROL,4M-2,root,1.059
AROL,3M-5,root,1.504
AROL,2M-3,root,1.776
AROL,2M-4,root,1.37
SEPU8,3M-5,root,29.942
SEPU8,2M-4,root,28.367
SEPU8,3M-1,root,33.581
AROL,3M-5,stem,10.227
SEPU8,3M-1,stem,45.18
SEPU8,2M-4,stem,35.118
SEPU8,3M-5,stem,54.128
SEPU8,3M-2,stem,28.819
AROL,2M-3,stem,12.01
AROL,4M-2,stem,4.13
AROL,4M-1,stem,9.255
AROL,2M-4,stem,5.265
AROL,2M-4,repro,1.04
SEPU8,2M-4,repro,5.142
AROL,3M-5,repro,5.564
AROL,4M-2,repro,1.372
AROL,2M-3,repro,5.371
AROL,4M-1,repro,2.774
SEPU8,3M-1,repro,8.73
SEPU8,3M-2,repro,20.75
AROL,2M-4,leaf,0.994
AROL,4M-2,leaf,0.906
SEPU8,3M-2,leaf,13.796
SEPU8,3M-1,leaf,22.114
SEPU8,3M-5,leaf,26.693
SEPU8,2M-4,leaf,14.894
AROL,4M-1,leaf,2.786
AROL,3M-5,leaf,1.743
AROL,2M-3,leaf,1.112
