spcode,rep,organ,biomass
MURI2,30D-4,root,0.03
MURI2,45D-1,root,0.041
MURI2,45D-3,root,0.07
MURI2,30D-1,root,0.024
MURI2,45D-5,root,0.056
MURI2,30D-2,root,0.02
MURI2,45D-5,leaf,0.029
MURI2,30D-5,leaf,0.025
MURI2,30D-3,leaf,0.014
MURI2,45D-3,leaf,0.048
MURI2,45D-4,leaf,0.058
MURI2,30D-4,leaf,0.023
MURI2,45D-2,leaf,0.055
MURI2,30D-2,leaf,0.017
MURI2,45D-1,leaf,0.026
MURI2,30D-1,leaf,0.024
MURI2,2M-4,root,0.059
MURI2,4M-2,root,0.046
MURI2,2M-5,root,0.285
MURI2,2M-1,root,0.095
MURI2,2M-3,root,0.119
MURI2,2M-1,leaf,0.164
MURI2,4M-2,leaf,0.077
MURI2,2M-5,leaf,0.342
MURI2,2M-4,leaf,0.076
MURI2,2M-3,leaf,0.138
MURI2,4M-2,stem,0.059
MURI2,2M-4,stem,0.065
MURI2,2M-3,stem,0.108
MURI2,2M-5,stem,0.264
MURI2,2M-1,stem,0.121
NAPU4,30D-5,stem,0.027
NAPU4,30D-3,stem,0.019
NAPU4,30D-4,stem,0.022
NAPU4,30D-2,stem,0.032
NAPU4,30D-1,stem,0.024
NAPU4,30D-4,root,0.082
NAPU4,30D-3,root,0.057
NAPU4,30D-2,root,0.091
NAPU4,30D-5,extra_stem,0.012
NAPU4,30D-5,root,0.055
NAPU4,30D-1,root,0.09
NAPU4,30D-1,leaf,0.063
NAPU4,30D-5,leaf,0.066
NAPU4,30D-4,leaf,0.092
NAPU4,30D-2,leaf,0.086
NAPU4,30D-3,leaf,0.059
NAPU4,5M-2,root,0.215
NAPU4,5M-5,root,0.132
NAPU4,4M-4,root,0.069
NAPU4,4M-1,root,0.128
NAPU4,3M-3,root,0.135
NAPU4,4M-4,leaf,0.195
NAPU4,3M-3,leaf,0.312
NAPU4,4M-1,leaf,0.194
NAPU4,5M-5,leaf,0.215
NAPU4,5M-2,leaf,0.265
NAPU4,4M-4,stem,0.159
NAPU4,5M-2,stem,0.112
NAPU4,3M-3,stem,0.131
NAPU4,4M-1,stem,0.072
NAPU4,5M-5,stem,0.077
POSE,30D-1,stem,0.009
POSE,30D-5,stem,0.002
POSE,30D-4,stem,0.004
POSE,30D-2,stem,0.001
POSE,30D-3,stem,0.004
POSE,30D-1,root,0.013
POSE,30D-3,root,0.013
POSE,30D-5,root,0.004
POSE,30D-4,root,0.012
POSE,30D-2,root,0.008
POSE,30D-1,leaf,0.013
POSE,30D-2,leaf,0.009
POSE,30D-5,leaf,0.006
POSE,30D-3,leaf,0.015
POSE,30D-4,leaf,0.017
SEPU8,45D-2,stem,0.207
SEPU8,30D-2,stem,0.082
SEPU8,45D-1,stem,0.268
SEPU8,30D-4,stem,0.051
SEPU8,45D-4,stem,0.195
SEPU8,30D-1,stem,0.044
SEPU8,30D-3,stem,0.118
SEPU8,30D-5,stem,0.1
SEPU8,45D-3,stem,0.291
SEPU8,45D-5,stem,0.207
SEPU8,30D-5,root,0.407
